Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,50,29,14,72,13.27,0.000%,4.42988,39.44,0.65,9118.0
Login,50,67,38,156,24.65,0.000%,4.42988,45.20,4.44,10449.1
List Products,50,59,34,106,17.80,0.000%,4.44089,497.38,3.36,114688.4
Look at Product,50,94,50,178,30.61,0.000%,4.42713,465.66,3.29,107707.6
Add Product to Cart,50,109,60,261,39.41,0.000%,4.42517,119.81,7.54,27724.6
List Products with different page,50,65,30,245,35.20,0.000%,4.43853,497.79,3.90,114843.6
Add Product 2 to Cart,50,111,56,223,34.38,0.000%,4.43027,122.95,8.60,28418.6
Logout,50,50,23,179,26.19,0.000%,4.42126,46.73,7.91,10823.0
TOTAL,400,73,14,261,39.69,0.000%,34.20558,1769.46,38.33,52971.6
